State,Initiative name,Initiative Number,Initiative status,Initiative Narrative,Initiative Metrics (Semicolon Separated),Metric Statuses (Semicolon-Separated)
AL,"Collaborative EHR, IT, and Cybersecurity Initiative",1,In progress,"The Collaborative Electronic Health Record (EHR), IT, and Cybersecurity Initiative will help modernize healthcare IT infrastructure by establishing regional ""hubs"" for IT and cybersecurity support and will assist with electronic health record (EHR) integration for rural hospitals and clinics. This regionalized model will reduce costs, improve interoperability, and enhance system reliability statewide while allowing independent providers to maintain their independence.",Number of regional hubs established and serving as IT provider-based hubs to local providers;Number of rural providers connected to regional hubs via IT & security operations;Number of rural providers connected to regional hubs via HER;Number of EHR upgraded to connect with ALOHR HIE;Cost savings;Interoperability of rural providers and health care networks over the ALOHR HIE;Upgraded systems uptime percentage;Number of cybersecurity alerts triaged/worked by IT-provided based hubs,Active;Active;Active;Active;Active;Active;Active;Active
AL,Rural Health Initiative,2,In progress,"The Rural Health Initiative will expand access to specialty and emergent care through a network of telehealth hubs linking EMS, first responders, hospitals, and other healthcare facilities to regional referral centers. It aims to bring advanced services such as tele-stroke, tele-behavioral health, and remote patient monitoring directly into rural communities, improving health outcomes and reducing unnecessary transfers.",Number of regional hubs created;Number of endpoints deployed;Number of telehealth consultations provided;Number of transfers avoided;Number of non-emergency transportation services created or expanded;Number of rural providers joining Rural Health Network pilot;Number of shared services created in Rural Health Network,Active;Active;Active;Active;Active;Active;Active
AL,Maternal and Fetal Health Initiative – Obstetric Digital Regionalization Initiative,3,In progress,"The Maternal and Fetal Health Initiative uses digital tools to connect rural facilities with maternal-fetal medicine specialists, provides access to telerobotic ultrasound, addresses shortages of obstetric services, and reduces high-risk maternal and infant morbidity in underserved communities. The initiative will also include expansion of an existing pilot program to provide emergency L&D carts to rural hospitals, thereby offering lifesaving care and stabilization for mothers and newborns until they can be relocated to an appropriate hospital setting.",Number of regional hubs created;Number of local providers connected with regional providers to receive services;Number of telehealth consultations provided;Number of transfers avoided;Number of telerobotic ultrasound procedures performed;Number of L&D carts acquired,Active;Active;Active;Active;Active;Active
AL,Rural Workforce Initiative,4,In progress,"To ensure long-term viability for rural providers, the Rural Workforce Initiative invests in coordinated training and recruitment pipelines for all healthcare professionals, including but not limited to, physicians, nurses, EMS professionals, certified nurse midwives, dentists, dental hygienists, and dental assistants, and leverages remote learning and clinical partnerships to grow the local healthcare workforce. It further provides incentives for providers to practice in rural areas and expands Graduate Medical Education programs.",Number of regional hubs created;Number of local providers connected with regional providers to receive services;Number of mobile screening opportunities offered;Number of patients screened using mobile services,Active;Active;Active;Active
AL,"Cancer Digital Regionalization Initiative - Prevention, Screening and Treatment",5,In progress,"One cause of rural health disparities is inadequate access to preventative care, detection, and treatment for cancer. In 2023, ADPH established OPERATION WIPE OUT as an evidence-based plan to eliminate cervical cancer. Alabama continues to be the first and only state in the U.S. with such a plan in place. The Cancer Digital Regionalization Initiative will replicate the successful model established by OPERATION WIPE OUT to target other cancers for prevention and early detection through cross-sector partnerships and improved access to screening services in rural areas. Once replicated, three core principles will be critical: 1) the initiative is not led by one centralized organization; 2) it is based on strategic partnerships, with each partner plays important roles; and 3) local partners take the lead in their own communities. Moreover, this model serves as an innovative approach to screening that offers greater efficiencies, more effectiveness, and broader reach than traditional brick-and-mortar clinics.",Number of new students accepted to rural remote training programs;Number of programs established at existing rural providers to offer remote training for EMS;Number of programs established at existing rural providers to offer remote training for LPN/RN;Number of programs established to provide specialized GME in rural areas;Number of GME-program graduates practicing in rural counties post-education;Number of students entering certified nurse midwife training programs created or expanded through this initiative,Active;Active;Active;Active;Active;Active
AL,Simulation Training Initiative,6,In progress,"The Simulation Training Initiative will improve the quality of care in rural healthcare facilities by providing training in specific services that are needed but not typically offered. This initiative will allow rural healthcare providers to enhance their workforce and improve their level of patient care through broader access to training. It will reduce patient travel and wait times, increase providers’ patient volumes and revenues, reduce overcrowding at tertiary care providers, and ensure patients receive the appropriate level of care at a location as close to home as possible.",Number of simulation programs established or expanded to deliver specialty-specific training;Number of simulation training sessions conducted;Number of patient transfers to regional referral centers from specialties with established simulation training;Number of patients treated locally by providers in specialties with established simulation training,Active;Active;Active;Active
AL,Statewide EMS Trauma and Stroke Initiative,7,In progress,"Under the Statewide EMS Trauma and Stroke Initiative, stateside hospital-referral services could be expanded to include additional patient conditions for which ambulances could be routed to the most appropriate available hospital, potentially to include psychiatric distress, L&D, respiratory distress, and many other conditions. The Trauma Communications Center is partially funded by the Alabama Education Trust Fund through the ADPH, and additional funding through this initiative would allow for a lifesaving expansion of its efforts.","Number of hospitals participating in diversion systems for additional proposed services (Critical Care, CT, L&D, Med/Surg, and Psych);Number of EMS/ambulance services participating in diversion systems;Number of additional services included in diversion systems;Number of calls appropriately diverted to suitable locations through use of diversion
systems",Active;Active;Active;Active
AL,EMS Treat-in-place Initiative,8,In progress,"Many EMS units are often unavailable to take local calls because they are transporting low-acuity patients that do not require full emergency department (ED) level of care or inpatient admission. These situations reduce overall ambulance availability for true emergencies in local communities and are exacerbated in rural communities with lower overall ambulance availability. Unnecessary transport also increases the amount of time EMS is required to wait at EDs before discharging patients to hospitals, increasing the total EMS turnaround time and reducing coverage for other patients. Implementing an EMS Treat-in-place Initiative model would allow EMS providers to treat patients on-site and be reimbursed for their services, saving transportation costs, reducing ED overcrowding, and decreasing the resource burden on hospitals. It also creates a needed revenue source for EMS providers and keeps ambulances in the community, thereby reducing response times and improving overall care for residents, especially
in rural areas.",Number of patients treated in place through the treat-in-place program;Number of emergency transports avoided due to treat-in-place;Number of telehealth consultations conducted as part of treat-in-place;Number of EMS providers offering treat-in-place services,Active;Active;Active;Active
AL,Mental Health Initiative,9,In progress,"Mental healthcare awareness and access to appropriate mental health services is inadequate, especially in rural areas of Alabama, which can exacerbate economic, educational, and other health outcomes. The Mental Health Initiative aims to expand two distinct phases of mental health access in rural Alabama.

1. A school-based tele-mental health model will increase awareness to educators, students, and their families while providing the broadest level of access to appropriate services. School-based tele-mental health will help address Alabama’s urgent youth
mental health needs, as 1 in 6 Alabama youth experience a mental health disorder and 62 percent of Alabama teenagers with depression are not receiving treatment. While initial contract costs can be a perceived barrier to entry for some K-12 schools, initiating contractual services with a tele-mental health provider can establish an effective and sustainable model of student- and family-centered care that is primarily paid for through service reimbursements. Part of this initiative will allow K-12 schools to initiate a sustainable tele-mental health program. Priority consideration will be given to providers that 1) have a track record of statewide implementation in rural communities; 2) provide evidence of support from Alabama LEAs to participate in the pilot; 3) maximize third party billing with private insurance and Medicaid; and 4) have a track record of providing telehealth services to students, families, and school staff.

2. CCBHCs are designed to ensure access to coordinated comprehensive behavioral health care, and are required to serve anyone who requests care for mental health or substance use disorder, regardless of ability to pay. CCBHCs are required to provide Crisis Services, Outpatient Mental Health and Substance Use Disorder treatment, Person and Family Centered Treatment Planning, Community- Based Mental Health Care for Veterans, Peer Family Support and Counselor Services, Targeted Care
Management, Outpatient Primary Care Screening and Monitoring, Psychiatric Rehabilitation Services and Screening, Diagnosis, and Risk Assessment for patients. While several CMHCs in Alabama have already begun the process of converting to CCBHCs, many other CMHCs do not have the financial capability to convert to this model. Part of this initiative will allow the remaining CMHCs the opportunity to apply for funding to convert to a CCBHC.",Number of CMHCs converted to CCBHC status;Number of patients receiving primary care screening and monitoring from CMHCs converted to CCBHCs;Number of patients receiving mental health services with the CCBHC as the primary provider;Number of patients receiving substance use disorder treatment services with the CCBHC as the primary provider,Active;Active;Active;Active
AL,Community Medicine Initiative,10,In progress,"The Community Medicine Initiative serves Alabama rural communities by providing preventative health screenings, navigates connections to appropriate healthcare, addresses food access issues and healthy food choices, promotes healthy lifestyle choices, encourages physical fitness, and broadly disseminates educational materials and teachings to educate Alabamians on how to participate in improving their own health.",Number of mobile wellness units procured;Number of mobile grocery/market units procured;Number of wellness visits provided through mobile events;Number of mobile grocery visits provided through mobile events,Active;Active;Active;Active
AL,Rural Health Practice Initiative,11,In progress,"The Rural Health Practice Initiative serves Alabama's rural communities by establishing or expanding networked rural health clinics in rural, underserved areas throughout Alabama. These clinics promote the creation of comprehensive, patient-centered hubs with the ability to combine physical and behavioral health services by emphasizing preventative care and chronic disease management. This initiative enables clinics to offer telehealth services, remote patient monitoring and virtual consultation to allow rural patients to be connected to specialists, and can also serve as ""support"" centers for other rural health clinics. Additionally, this initiative will offer local healthcare facilities opportunities to partner with K-12 institutions to establish dental and health clinics and provide primary care services to students, parents, teachers, staff and their families. This initiative will provide funding for equipment upgrades and minor building renovations or alterations to prepare providers to provide the care contemplated by this initiative and ensures that long-term costs are commensurate with patient volume.","Number of clinics established or upgraded;Number of patients served through established or upgraded clinics;Number of medical trainees placed in
established or upgraded clinics;Number of telehealth consultations conducted through networked clinics",Active;Active;Active;Active
AK,Healthy Beginnings,1,In progress,"Alaska’s Healthy Beginnings initiative strengthens maternal and child health as a foundation for healthy families, especially in rural areas. With Alaska’s unique geography, regional and local hospitals provide critical labor and delivery services, NICU, maternal health, and pediatric care across vast distances. Families living off the road system face provider shortages, long travel distances, and unreliable transportation, often requiring pregnant women to leave their communities and temporarily relocate prior to delivery to access facilities equipped for labor, delivery, and high-risk monitoring, which creates emotional, financial, and logistical strain. After birth, mothers and infants often face isolation and limited support for needs such as lactation, nutrition and pediatric
needs.",Percentage of women receiving prenatal care in the first trimester;Infant mortality rate;Pregnancy-associated deaths*;Number of early intervention and infant learning program screenings performed in the past year;Number of home visits provided by evidence-based programs;Number of school districts participating in Medicaid School-Based Services programs;Number of new facilities supporting technology-enabled maternal care infrastructure,Active;Active;Active;Active;Active;Active;Active
AK,Health Care Access,2,In progress,"The Health Care Access initiative aims to expand and sustain essential health services across Alaska’s road connected and off-road communities, where geography, severe weather, and workforce shortages limit timely, comprehensive care. This system maximizes care close to home by (a) expanding access to primary, behavioral, and oral health care within integrated systems; (b) increasing access to specialty care through the development of local provider capacity, telehealth, remote monitoring, and mobile specialist teams; (c) strengthening hospital capacity to provide 24/7 urgent, acute, and emergency care, trauma services, labor and delivery, maternity care, diagnostic, laboratory, and other ancillary services and therapies tailored to rural, remote and frontier needs; (d) supporting seniors and individuals with intellectual and developmental disabilities (IDD) in accessing aging-in place and home- and community-based services; and (e) aiding healing and transitions through post-acute and recovery care at home or in the community.",Percentage of adults reporting they have a primary care provider;Percentage of adults with current age-appropriate cancer screenings;Percentage of Medicaid recipients receiving community-based behavioral health services in the past year;Percent of Medicaid youth with follow-up care within 30-days after hospitalization for mental illness*;Number of Tribes or THOs offering Traditional Healing services;Drug overdose mortality rate;Suicide mortality rate,Active;Active;Active;Active;Active;Active;Active
AK,Healthy Communities,3,In progress,"The Healthy Communities initiative targets the unique challenges of rural, remote, and frontier Alaska by investing in preventive care and root causes of poor health through: (a) enhancing access to locally tailored preventive and primary care services that enable early chronic disease management, reduce avoidable hospitalizations, and improve long-term health outcomes through evidence-based screenings and coordinated care; (b) expanding consumer-facing digital tools, population health clinical infrastructure and management systems, and community-based workforce capacity to strengthen outreach, self-sufficiency, and care coordination; and (c) promoting healthy lifestyles with culturally appropriate community education focused on nutrition, physical activity, and chronic disease prevention tailored to rural and frontier populations.","Percentage of adults reporting recent physical activity outside of work;Percentage of adults consuming one or more sugary drinks per day;Number of participants in Alaska’s Fresh Start programs;Number of schools administering the Presidential Fitness Test in alignment with Executive Order 14327;Number of programs deploying RHTP-funded consumer-facing technologies (e.g., wearables, remote-monitoring, app-based technologies)",Active;Active;Active;Active;Active
AK,Pay for Value: Fiscal Sustainability,4,In progress,"The Pay for Value: Fiscal Sustainability initiative incentives a shift from traditional volume-based reimbursement models which are financially unsustainable for rural providers, whose low patient volume, high fixed costs, and geographic isolation lead to financial strain and limit their ability to generate sufficient revenue under current FFS systems. Building long-term financial stability of rural providers requires a transition to payment models that empower providers and incentivize health care organizations, especially rural providers, to invest in innovative care models to improve coordination among primary and behavioral care providers, strengthen chronic disease management, and maintain access to essential acute care services. Recognizing that providers vary in readiness and face unique challenges, participation is voluntary and supported through flexible approaches, with careful consideration of the unique ATHS reimbursement structure.",Number of providers that engage in APM readiness assessments and/or develop APM implementation plans;Number of providers voluntarily participating in new APMs;Number of providers reporting quality measures for value-based care participation via HIE;Number of non-Tribal CAHs with 273 days or more cash on hand;Rate of potentially avoidable emergency department visits for seniors 65+,Active;Active;Active;Active;Active
AK,Strengthen Workforce,5,In progress,"The Strengthen Workforce initiative aims to build a resilient rural health care workforce by focusing on (a) developing rural workforce pipelines and recruitment pathways such as high school-to-career programs, certification and graduate pathways, reskill/upskill programs, and enhanced rural internships, rotations, and residencies, especially in primary care and family medicine; (b) targeted signing and retention bonuses tied to five-year service commitments in remote communities; and (c) enhancing retention and provider support through structured mentoring, continuing education opportunities, and incentive programs linked to long-term service, alongside wraparound supports, time-limited housing assistance, and child care partnerships to help providers remain in rural communities.","Physicians per 100,000 population;Number of certified CHA/Ps, BHA/Ps, DHATs, and Community Health Workers*;Number of physician residency slots*;Number of participants in RHTP-funded workforce programs;Number of RHTP-funded programs for recruitment and retention incentives and supports",Active;Active;Active;Active;Active
